TIMESTAMP,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,UID
167127452123,-2.1216,-1.2690,0.4529,,,,,,,PP
167127452124,-3.2005,-1.8495,0.6308,,,,,,,PP
167127452126,-3.3366,-1.8252,0.5332,,,,,,,PP
167127452127,-2.1792,-1.2629,0.3679,,,,,,,PP
167127452129,-3.1746,-1.9227,0.5593,,,,,,,PP
167127452130,-2.1611,-1.3379,0.2976,,,,,,,PP
167127452132,-3.3001,-2.1780,0.4021,,,,,,,PP
167127452133,-2.2068,-1.6077,0.2432,,,,,,,PP
167127452135,-3.1824,-2.3576,0.3185,,,,,,,PP
167127452136,-2.2458,-1.7446,0.5520,,,,,,,PP
167127452137,-2.5283,-1.9304,0.3396,,,,,,,PP
167127452138,-2.1812,-1.7314,0.3440,,,,,,,PP
167127452139,-1.9414,-1.6895,0.4263,,,,,,,PP
167127452141,-2.5913,-2.3496,0.5469,,,,,,,PP
167127452142,-1.4094,-1.3318,0.3789,,,,,,,PP
167127452143,-1.2600,-1.1331,0.3711,,,,,,,PP
167127452144,-1.0737,-0.9683,0.4294,,,,,,,PP
167127452145,-0.9578,-0.8394,0.4463,,,,,,,PP
167127452146,-0.7310,-0.9290,0.3442,,,,,,,PP
167127452147,-0.6985,-0.9248,0.3982,,,,,,,PP
167127452148,-0.7422,-0.9021,0.3660,,,,,,,PP
167127452149,-0.8181,-0.9246,0.4028,,,,,,,PP
167127452150,-0.9087,-0.9233,0.4355,,,,,,,PP
167127452151,-0.9204,-0.9360,0.3818,,,,,,,PP
167127452152,-0.8616,-0.8984,0.4399,,,,,,,PP
167127452153,-0.7717,-0.8638,0.4329,,,,,,,PP
167127452155,-1.0536,-1.1842,0.6447,,,,,,,PP
167127452156,-0.7153,-0.7676,0.4209,,,,,,,PP
167127452157,-0.7715,-0.7764,0.4546,,,,,,,PP
167127452158,-0.8083,-0.7656,0.4612,,,,,,,PP
167127452159,-0.8467,-0.7625,0.4590,,,,,,,PP
167127452161,-1.3963,-1.1300,0.7272,,,,,,,PP
167127452162,-0.8186,-0.8767,0.9412,,,,,,,PP
167127452163,-0.7549,-0.9561,0.9939,,,,,,,PP
167127452164,-0.7637,-1.0171,0.6536,,,,,,,PP
167127452165,-0.7517,-0.8425,0.7847,,,,,,,PP
167127452166,-0.9292,-0.9299,0.7000,,,,,,,PP
167127452167,-1.1785,-0.9824,0.6133,,,,,,,PP
167127452168,-1.3572,-0.9668,0.5894,,,,,,,PP
167127452169,-1.4978,-0.9409,0.5967,,,,,,,PP
167127452170,-1.6780,-0.9385,0.6926,,,,,,,PP
167127452171,-1.8804,-0.9775,0.7144,,,,,,,PP
167127452172,-2.0190,-0.9973,0.7312,,,,,,,PP
167127452173,-2.0515,-1.0386,0.7773,,,,,,,PP
167127452174,-2.0049,-1.1099,0.8115,,,,,,,PP
167127452175,-1.9248,-1.1396,0.8508,,,,,,,PP
167127452176,-1.8142,-1.1331,0.9397,,,,,,,PP
167127452177,-1.7458,-1.0439,0.9102,,,,,,,PP
167127452178,-1.7764,-0.9270,0.8210,,,,,,,PP
167127452179,-1.8586,-0.8081,0.7834,,,,,,,PP
167127452180,-1.9546,-0.7886,0.7122,,,,,,,PP
167127452183,-4.2440,-1.6312,1.3412,,,,,,,PP
167127452184,-2.3342,-0.9521,0.6282,,,,,,,PP
167127452185,-2.3552,-1.0513,0.5972,,,,,,,PP
167127452186,-2.3752,-1.1782,0.5540,,,,,,,PP
167127452187,-2.3987,-1.3364,0.5232,,,,,,,PP
167127452188,-2.3757,-1.4487,0.5044,,,,,,,PP
167127452189,-2.3088,-1.5247,0.4890,,,,,,,PP
167127452190,-2.2327,-1.5361,0.4336,,,,,,,PP
167127452191,-2.0964,-1.4341,0.3728,,,,,,,PP
167127452192,-2.7496,-1.9107,0.5211,,,,,,,PP
167127452194,-2.2039,-1.5562,0.2979,,,,,,,PP
167127452195,-3.1343,-2.1742,0.2309,,,,,,,PP
167127452197,-2.6306,-1.7278,0.2085,,,,,,,PP
167127452198,-3.5786,-2.4352,0.2777,,,,,,,PP
167127452200,-2.1187,-1.4543,0.1084,,,,,,,PP
167127452201,-2.9390,-2.0442,0.2133,,,,,,,PP
167127452203,-1.6492,-1.2612,0.1887,,,,,,,PP
167127452204,-2.3307,-1.8169,0.2891,,,,,,,PP
167127452206,-1.5425,-1.2197,0.2197,,,,,,,PP
167127452207,-2.2535,-1.7863,0.3733,,,,,,,PP
167127452209,-1.3843,-1.0864,0.2249,,,,,,,PP
167127452210,-1.9349,-1.5230,0.3618,,,,,,,PP
167127452212,-1.2188,-0.9749,0.2698,,,,,,,PP
167127452213,-1.8014,-1.4448,0.4176,,,,,,,PP
167127452215,-1.1414,-0.9348,0.2952,,,,,,,PP
167127452216,-1.6276,-1.3049,0.4497,,,,,,,PP
167127452218,-1.0256,-0.7910,0.3135,,,,,,,PP
167127452219,-1.4708,-1.1175,0.5126,,,,,,,PP
167127452220,-1.0046,-0.6990,0.3662,,,,,,,PP
167127452222,-1.7197,-1.0740,0.5550,,,,,,,PP
167127452223,-1.3638,-0.7424,0.3975,,,,,,,PP
